Antibiotic,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,
C,,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,Amp,
D,,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,
E,,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,Cm,
F,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,
G,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Ciprofloxacin,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,
C,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,
D,,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,
E,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,
F,,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,Cipro,
G,,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,DMSO,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
C,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
D,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
E,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
F,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
G,,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,MG1655,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Volume,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
C,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
D,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
E,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
F,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
G,,5,8.75,15.3125,26.796875,46.89453125,82.0654296875,143.614501953125,251.325378417969,439.819412231445,769.683971405029,
H,,,,,,,,,,,,
